"latitude","longitude","name","country","refcode"
"-34.6533","-58.3420","DOCK SUD","AR","ARG0000158"
"-26.6156","-65.1929","EL CADILLAL","AR","ARG0000338"
"-33.2993","-68.7199","EL CARRIZAL","AR","ARG0000196"
"-39.2577","-68.7483","EL CHOCON","AR","ARG0000255"
"-34.6100","-68.6136","EL TIGRE","AR","ARG0000211"
"-25.2323","-64.4762","EL TUNAL","AR","ARG0000276"
"-32.2316","-64.4422","EMBALSE","AR","ARG0000112"
"-27.6589","-65.7633","ESCABA","AR","ARG0000339"
"-30.0102","-59.5321","ESQUINA","AR","ARG0000119"
"-34.6270","-58.3382","EX CENTRAL BUENOS AIRES","AR","ARG0000047"
"-37.2742","-69.6520","FILO MORADO","AR","ARG0000240"
"-32.1784","-64.4207","FITZ SIMON","AR","ARG0000089"
"-43.6996","-66.4815","FLORENTINO AMEGHINO","AR","ARG0000079"
"-43.1288","-71.6300","FUTALEUFU","AR","ARG0000080"
"-28.6072","-65.1228","GENERACION FRIAS SA","AR","ARG0000329"
"-37.4309","-64.7160","GENERAL ACHA","AR","ARG0000182"
"-34.0364","-63.9217","GENERAL LEVALLE","AR","ARG0000090"
"-33.0449","-68.9219","GENERAL SAN MARTIN","AR","ARG0000208"
"-29.1388","-59.2277","GOYA","AR","ARG0000121"
"-29.1388","-59.2277","GOYA (ELECTROPATAGONIA SA)","AR","ARG0000137"
"-39.5600","-65.6817","GUILLERMO CESPEDES","AR","ARG0000269"
"-40.0120","-69.9918","H. PICHI PICUN LEUFU","AR","ARG0000272"
"-33.2422","-62.3946","ISLA VERDE","AR","ARG0000091"
"-27.4252","-57.3341","ITA IBATE","AR","ARG0000123"
"-27.5785","-56.6726","ITUZAINGO","AR","ARG0000124"
"-30.3400","-69.2700","Iglesia-Guañizuil","AR","WKS0072502"
"-38.8367","-68.0380","JULIAN  ROMERO","AR","ARG0000270"
"-29.1762","-56.6394","LA CRUZ","AR","ARG0000125"
"-34.8890","-57.9206","LA PLATA COGENERACION","AR","ARG0000164"
"-29.3823","-66.8325","LA RIOJA","AR","ARG0000188"
"-27.4184","-55.9097","LA TABLADA","AR","ARG0000222"
"-31.8708","-65.0349","LA VIÑA","AR","ARG0000094"
"-24.4438","-65.2203","LAS MADERAS","AR","ARG0000169"
"-34.6000","-68.5285","LOS CORONELES (EX 25  DE MAYO)","AR","ARG0000209"
"-31.8380","-64.4452","LOS MOLINOS I","AR","ARG0000096"
"-31.8380","-64.4452","LOS MOLINOS II","AR","ARG0000097"
"-27.6509","-64.3618","LOS QUIROGA","AR","ARG0000331"
"-34.6028","-68.6383","LOS REYUNOS","AR","ARG0000212"
"-33.0551","-68.9810","LUJAN DE CUYO","AR","ARG0000198"
"-36.7208","-63.1977","MAR DE AJO","AR","ARG0000006"
